storey_range,floor_area_sqm,no.of bto,resale application,remaining_lease_months,Distance to nearest MRT,Distance to CBD,isMatureEstate,over_under_classification
5,73.0,7314,26436.0,667,908.9705214,9026.295266,1,0
20,70.0,7314,26436.0,1100,687.1853187,9015.122154,1,0
2,73.0,7314,26436.0,676,586.9806902,8949.443986,1,0
5,73.0,7314,26436.0,663,800.6312986,9123.690385,1,0
8,68.0,7314,26436.0,708,927.3228487,9734.443856,1,0
11,68.0,7314,26436.0,708,712.5046517,9982.636437,1,0
5,67.0,7314,26436.0,708,1076.61113,9615.223908,1,0
5,82.0,7314,26436.0,710,899.2742197,9188.316423,1,0
2,67.0,7314,26436.0,703,1246.512267,8673.882621,1,0
2,67.0,7314,26436.0,703,789.0966052,9013.558565,1,0
8,67.0,7314,26436.0,708,635.4234782,9689.958415,1,0
5,67.0,7314,26436.0,703,789.0966052,9013.558565,1,0
2,67.0,7314,26436.0,703,744.4589812,9165.809386,1,0
5,67.0,7314,26436.0,696,573.8186533,9234.974571,1,1
2,67.0,7314,26436.0,703,789.0966052,9013.558565,1,0
8,67.0,7314,26436.0,764,950.8793796,9044.703006,1,0
5,67.0,7314,26436.0,701,719.7813683,9470.006338,1,0
5,88.0,7314,26436.0,688,270.6473968,9205.6193,1,0
5,67.0,7314,26436.0,663,662.5433638,9299.644138,1,0
2,67.0,7314,26436.0,693,684.983074,9699.695757,1,0
2,67.0,7314,26436.0,701,320.8037547,9504.291487,1,0
11,67.0,7314,26436.0,693,672.8809226,9486.754433,1,1
5,73.0,7314,26436.0,687,270.6473968,9205.6193,1,1
11,67.0,7314,26436.0,675,634.3307834,9408.624356,1,0
5,88.0,7314,26436.0,686,492.4856977,9214.834493,1,0
5,67.0,7314,26436.0,693,552.499499,9514.579375,1,0
5,67.0,7314,26436.0,693,672.8809226,9486.754433,1,1
2,67.0,7314,26436.0,693,672.8809226,9486.754433,1,0
2,73.0,7314,26436.0,679,115.1181678,9696.587619,1,0
8,75.0,7314,26436.0,718,531.1249282,10554.09147,1,0
5,82.0,7314,26436.0,724,525.6342362,10285.88355,1,0
2,68.0,7314,26436.0,729,537.0738162,10665.45376,1,0
5,82.0,7314,26436.0,724,624.4339301,10205.50901,1,1
5,82.0,7314,26436.0,720,641.8049215,10115.95047,1,1
8,68.0,7314,26436.0,720,735.0232448,10232.96673,1,0
8,67.0,7314,26436.0,714,498.4196462,10848.69772,1,1
8,67.0,7314,26436.0,708,644.4205081,9991.366904,1,0
8,68.0,7314,26436.0,723,592.811381,10349.71826,1,0
8,67.0,7314,26436.0,708,644.4205081,9991.366904,1,1
2,67.0,7314,26436.0,708,605.2416294,9945.559476,1,0
5,67.0,7314,26436.0,696,543.4898469,9606.259835,1,0
2,82.0,7314,26436.0,717,524.240054,9791.050857,1,0
20,67.0,7314,26436.0,1139,511.9215662,10373.88404,1,1
11,67.0,7314,26436.0,1139,511.9215662,10373.88404,1,0
5,98.0,7314,26436.0,667,874.3029913,9066.145975,1,0
17,97.0,7314,26436.0,1100,717.3814911,9067.737347,1,1
14,94.0,7314,26436.0,1100,831.0047906,8922.43042,1,0
2,91.0,7314,26436.0,708,729.6841926,9651.150893,1,1
11,92.0,7314,26436.0,704,824.1852658,8813.946601,1,0
8,93.0,7314,26436.0,710,712.5046517,9982.636437,1,0
11,91.0,7314,26436.0,763,1111.935595,8737.938488,1,0
2,93.0,7314,26436.0,764,950.8793796,9044.703006,1,0
5,92.0,7314,26436.0,703,843.7154048,8771.158472,1,0
5,99.0,7314,26436.0,703,720.0795069,8974.276534,1,0
5,92.0,7314,26436.0,708,930.9825954,9622.398552,1,0
2,92.0,7314,26436.0,703,926.4267591,8815.32987,1,1
11,99.0,7314,26436.0,703,720.0795069,8974.276534,1,1
8,98.0,7314,26436.0,692,372.6536341,9261.548685,1,1
2,98.0,7314,26436.0,692,372.6536341,9261.548685,1,1
5,91.0,7314,26436.0,684,322.2052132,9487.96792,1,0
5,92.0,7314,26436.0,693,559.832748,9414.146647,1,1
8,91.0,7314,26436.0,684,322.2052132,9487.96792,1,0
11,91.0,7314,26436.0,732,427.2580009,10203.61975,1,0
2,91.0,7314,26436.0,724,602.8944453,10377.72386,1,0
2,91.0,7314,26436.0,723,602.8944453,10377.72386,1,0
5,90.0,7314,26436.0,992,393.5788258,9433.355201,1,0
2,91.0,7314,26436.0,714,501.8795837,9972.671785,1,1
11,92.0,7314,26436.0,716,418.6173248,10886.2499,1,1
11,100.0,7314,26436.0,716,580.2951815,10889.15982,1,0
8,90.0,7314,26436.0,968,687.6115278,8826.475076,1,0
17,95.0,7314,26436.0,969,626.157593,8865.716003,1,0
14,90.0,7314,26436.0,1087,459.2327355,9703.455688,1,0
17,90.0,7314,26436.0,1087,503.5711049,9689.091239,1,1
2,119.0,7314,26436.0,696,595.1159109,9076.24386,1,1
2,119.0,7314,26436.0,700,1180.117748,8502.66529,1,0
11,119.0,7314,26436.0,696,595.1159109,9076.24386,1,0
17,120.0,7314,26436.0,708,1180.677981,9152.602757,1,1
8,117.0,7314,26436.0,684,349.0286373,9598.050418,1,0
2,133.0,7314,26436.0,867,265.0293254,9342.216993,1,1
11,121.0,7314,26436.0,720,673.6886849,10146.87784,1,0
